year,mmsi,transmitter_no,raw_registered_gear_type,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas
2015,1004552053,4552053,Purse Seine Small Pelagics,1076,148,0,24,0,1943.2833333317974,268.7249999996,0,0
2016,1004607004,4607004,Stick-Held lift net,1047,62,0,9,0,1068.9500000011003,25.708333333400002,0,0
2014,NA,86811707388,Basic longline,2604,146,0,47,0,2602.016666661203,478.87499999880004,0,0
2014,1000043931,43931,Purse Seine Small Pelagics,1337,36,4,9,1,679.0750000005993,75.58333333280002,51.0666666667,3
2016,1004573721,4573721,Stick-Held lift net,1044,51,0,9,0,1059.2833333330004,104,0,0
2016,1040511885,40511885,Purse Seine Small Pelagics,3354,144,131,68,68,3312.4500000026032,981.3000000003001,3013.9833333356046,981.3000000003001
2016,1004538624,4538624,Purse Seine Small Pelagics,2282,179,0,91,0,3264.1166666666973,1106.9666666666997,0,0
2016,1004493111,4493111,Purse Seine Small Pelagics,1658,84,0,24,0,1827.474999999499,130.8249999998,0,0
2016,1031072270,31072270,Basic longline,2280,134,0,94,0,2405.4499999997997,1442.9916666667,0,0
2014,1000097103,97103,Fish net/dragnet,2155,57,0,19,0,1025.2083333331998,142.41666666669985,0,0
2015,1004625131,4625131,Stick-Held lift net,1112,57,0,10,0,1184.7583333331002,78.90833333330004,0,0
2014,1000073687,73687,Purse Seine Small Pelagics,938,26,13,6,5,427.3999999984001,46.299999999800015,273.2249999985001,45.116666666500016
2015,1004604082,4604082,Oceanic gillnet,335,41,0,3,0,463.8583333333999,60,0,0
2014,1004609718,4609718,Stick-Held lift net,987,65,0,12,0,1083.7666666665002,96.46666666659999,0,0
2016,1000143140,143140,Stick-Held lift net,871,18,0,1,0,413.1083333329,4.7916666668,0,0
2016,1004446550,4446550,Stick-Held lift net,393,18,0,5,0,422.29999999980015,43.5,0,0
2016,1004626964,4626964,Purse Seine Small Pelagics,555,31,0,16,0,578.1666666666,205.54999999979998,0,0
2015,1004652035,4652035,Fish net/dragnet,1239,82,0,55,0,1461.2416666663999,733.7916666665005,0,0
2016,1004740969,4740969,Purse Seine Small Pelagics,419,80,0,23,0,782.0499999996,221.0499999998,0,0
2015,1004933514,4933514,Purse Seine Small Pelagics,463,25,0,20,0,480.6,254.00833333340003,0,0
2016,1004493108,4493108,Anchored gillnets,115,6,0,2,0,122.48333333310002,5.0083333332999995,0,0
2016,1031121701,31121701,Purse Seine Small Pelagics,138,13,0,1,0,156.25,1,0,0
2015,1004917041,4917041,Longline Tuna,1015,47,45,23,23,1069.8749999996005,232.7249999996999,1031.6249999996007,232.7249999996999
2015,1004691273,4691273,Purse Seine Big Pelagics with one boat,95,14,0,3,0,104.4833333334,20.9916666667,0,0
2016,1004553613,4553613,Longline Tuna,149,8,0,2,0,83.66666666770006,7.0083333332999995,0,0
2015,1004564877,4564877,Purse Seine Small Pelagics,88,28,0,3,0,174.0666666665,10.8416666666,0,0
2014,1004587255,4587255,Purse Seine Small Pelagics,5508,265,0,207,0,5807.016666665801,2926.2416666662,0,0
2016,1000140431,140431,Stick-Held lift net,14089,347,0,81,0,7993.183333335599,517.6833333337,0,0
2014,1004569467,4569467,Stick-Held lift net,4398,222,0,75,0,4794.424999998995,678.1083333329001,0,0
2016,1004628700,4628700,Oceanic gillnet,1263,73,0,36,0,1332.6166666665,473.4916666666,0,0
2015,1004605010,4605010,Basic longline,2727,244,0,79,0,3667.3916666664004,1041.0250000008996,0,0
2014,1000056373,56373,Purse Seine Big Pelagics with one boat,6223,163,0,100,0,3392.191666668802,836.9250000011002,0,0
2016,1004619889,4619889,Stick-Held lift net,1831,226,0,15,0,3595.916666664793,107.7,0,0
2015,1004537517,4537517,Stick-Held lift net,34743,165,0,45,0,3138.4583332875022,210.31666666169986,0,0
2016,1004519262,4519262,Purse Seine Big Pelagics with one boat,6570,297,137,222,111,6650.6166666662975,3086.3833333327993,2856.4499999997997,1558.8416666662004
2014,1004828053,4828053,Purse Seine Small Pelagics,3526,199,0,76,0,4030.9499999986933,645.8999999997005,0,0
2014,1004939213,4939213,Longline Tuna,6257,206,201,128,125,4199.816666677799,1846.1500000024014,4082.6583333444,1819.2333333358013
