year,type,mmsi,imo,call_sign,ship_name,sub_type,flag_state,length,tonnage,engine_power,crew,all_encounters,encounters_with_high_seas_vessels,encounters_in_the_high_seas,distinct_fishing_flags,fraction_with_high_seas_vessels,most_common_flag,aux_engine_power,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc,gap_hours,gap_days
2016,reefer,529764000,8312655,T3PT2,WEI SHUN,Specialized Reefer,Kiribati,149.03,9032,7059,17,44,44,44,2,1,China,1764.75,15.278926933104,17.035610036448997,203,203,217,0,0
2015,reefer,273824020,8857796,UEFY,NIKOLAY KASATKIN,Specialized Reefer,Russia,54.99,796,589,32,42,41,42,2,0.9761904761904762,Russia,147.25,13.140206389752,11.175253602208999,250,203,217,0,0
2015,reefer,351763000,8214839,3FRT,SHIN HANG,Specialized Reefer,Panama,143.52,8739,6684,30,42,35,42,1,0.8333333333333334,China,1671,15.163531622808,16.783875143824,203,203,217,89.70777777777778,0
2014,reefer,1000065142,NA,NA,NA,NA,Indonesia,27.2,171,350,31,39,39,39,1,1,Indonesia,87.5,13.0490141013,10.8970873025,203,203,217,0,0
2016,reefer,440664000,8815009,DSOZ2,SL BOGO,Specialized Reefer,South Korea,91.82,3387.67,2942,21,36,34,34,3,0.9444444444444444,South Korea,735.5,13.94640056976612,13.679219491556,260,203,217,0,0
2014,reefer,1004692616,NA,NA,NA,NA,Indonesia,26.75,180,298.3,31,35,28,28,1,0.8,Indonesia,74.575,13.032163571052,10.83633673923881,203,203,217,0,0
2016,reefer,577106000,9133317,YJTB3,HARIMA 2,Specialized Reefer,Vanuatu,117.8,4490,2993,20,33,32,33,4,0.9696969696969697,Japan,748.25,13.97742134106,13.728774896921,203,203,217,0,0
2016,reefer,440046000,9021277,DSMA2,SEIWA,Specialized Reefer,South Korea,94,2692,2427,20,31,31,22,2,1,South Korea,606.75,13.770900106872,13.167593153041,260,203,217,24.43777777777778,0
2016,reefer,636017161,9071583,D5JO8,MEITA MARU,Specialized Reefer,Liberia,106.86,3802,2942,25,31,30,29,3,0.967741935483871,South Korea,735.5,13.951970422872,13.679219491556,203,203,217,137.4336111111111,1
2016,reefer,273811020,8834483,UIWB,KAPITAN PRYAKHA,Specialized Reefer,Russia,133.95,6998,4350,22,31,6,0,2,0.1935483870967742,Russia,1087.5,14.4325569354,14.973832502499999,250,203,217,0,0
2016,reefer,374446000,9241932,3EHZ8,HARU,Specialized Reefer,Panama,120.75,4521,3014.61,24.5,30,30,30,2,1,China,753.6525,13.984697149936979,13.749712420424261,203,203,217,24.091666666666665,0
2015,reefer,371717000,8422711,3FSJ2,HAI FENG 698,Specialized Reefer,Panama,152.94,12398,5264.44380219,22,29,28,28,2,0.9655172413793104,China,1316.1109505475,14.754981004103009,15.732933090278802,203,203,217,0,0
2015,reefer,577106000,9133317,YJTB3,HARIMA 2,Specialized Reefer,Vanuatu,117.8,4490,2993,20,28,28,28,5,1,Japan,748.25,13.97742134106,13.728774896921,203,203,217,66.29138888888889,0
