year,mmsi,transmitter_no,shipname,raw_registered_gear_type,gfw_sub_gear,gfw_gear,length,tonnage,engine_power,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas,fraction_effort_on_high_seas,aux_engine_power,crew,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc
2014,1004585107,4585107,GUNUNG CAHAYA BARU,Longline Tuna,drifting_longlines,drifting_longlines,21,59,268.42319219598636,1510,72,44,46,34,1519.5416666667998,791.3250000000997,959.4583333337001,558.7999999999997,0.7061573942437422,80.52695765879591,6,13.019805318457488,10.801135956225291,220,220,217
2016,1004944869,4944869,MEKAR JAYA ABADI,Longline Tuna,drifting_longlines,drifting_longlines,28.21,87,290.8,737,31,29,24,24,707.3333333337,326.0666666668,669.3250000004,326.0666666668,1,87.24,13,13.0277659984968,10.827506713734559,180,180,217
2016,1004941370,4941370,PRIMUS JAYA,Longline Tuna,drifting_longlines,drifting_longlines,23.98,86,275.9,4345,185,176,112,112,4248.216666667001,808.5416666664999,3994.666666667198,808.5416666664999,1,82.77,10,13.0228317994692,10.80995155631849,220,220,217
2015,1004620719,4620719,INDAH SARI,Longline Tuna,drifting_longlines,drifting_longlines,19.4,40,238.6,2482,128,119,111,102,2959.5250000004958,1698.6833333337993,2492.575000000699,1441.6833333338993,0.8487063509974415,71.58,8,13.009572230352,10.76592984750884,220,220,217
2014,1004905094,4905094,BANDAR NELAYAN - 55,Longline Tuna,drifting_longlines,drifting_longlines,21.26,75,274.5800614868402,13260,188,185,133,133,3678.566666689997,1683.6750000075995,3646.833333349701,1683.6750000075995,1,82.37401844605205,6,13.022168202901012,10.808395583124907,220,220,217
2015,1000065167,65167,NA,Purse Seine Small Pelagics,purse_seines,purse_seines,26.8,157,420.74886305603064,6043,141,19,63,8,2996.3583333328966,515.3333333330003,320.94999999990034,100.99166666679994,0.19597347994863884,126.22465891680919,10,13.072043064947437,10.97988812970393,180,180,217
2014,1004613839,4613839,SURYA TERBIT - 91,Longline Tuna,drifting_longlines,drifting_longlines,17.87,34,199.35861021429076,7752,336,309,192,179,7759.799999999102,1346.3583333334996,6784.324999999498,1157.2333333333997,0.8595284811497114,59.80758306428723,5,12.996501095566202,10.719501346393495,220,220,217
2014,1000058307,58307,PERMATA  - 318,Longline Tuna,drifting_longlines,drifting_longlines,29.95,199,516.3809035526011,17805,318,312,173,173,6944.974999993197,767.9916666659993,6852.916666659895,767.9916666659993,1,154.91427106578033,14,13.104404420801288,11.091198821445188,180,180,217
2014,1004935243,4935243,CITRA MAJU - 82,Longline Tuna,drifting_longlines,drifting_longlines,25.48,152,387.8,3066,143,68,21,14,3081.4083333335,122.55000000000001,1351.5583333336,87.57499999990002,0.7146062831489188,116.34,6,13.0610818911648,10.94137439093636,180,180,217
2014,1000074199,74199,AW. MAKMUR - I,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,25.43,121,261,11295,267,15,195,10,5998.566666662796,2225.416666666201,314.59166666689976,152.1750000003999,0.06838045309886467,78.3,7,13.018646114897999,10.792379317009,180,180,217
2015,1000074018,74018,JIMMY WIJAYA - 28,Longline Tuna,drifting_longlines,drifting_longlines,25.18,112,275.9,3342,63,53,36,36,1439.0083333328007,350.85833333410017,1201.1999999996005,350.85833333410017,1,82.77,7,13.0233713900064,10.80995155631849,180,180,217
2015,1000058307,58307,PERMATA  - 318,Longline Tuna,drifting_longlines,drifting_longlines,29.95,199,516.3809035526011,4876,96,94,66,66,2109.4833333313995,355.9249999996003,2068.1333333313983,355.9249999996003,1,154.91427106578033,14,13.104404420801288,11.091198821445188,180,180,217
2015,1004941361,4941361,BANDAR NELAYAN - XII,Longline Tuna,drifting_longlines,drifting_longlines,25.88,138,283.4,6579,306,294,244,239,7116.849999999997,2741.799999999899,6836.866666666598,2669.908333333199,0.9737793906679181,85.02,8,13.0263831425736,10.81879018009124,180,180,217
2015,1004961347,4961347,FELICIA - 8,Longline Tuna,drifting_longlines,drifting_longlines,23.28,102,324.57852004300764,4786,210,201,109,108,4904.5749999998,921.1499999996,4683.5749999998025,916.1499999996,0.9945720023883166,97.37355601290228,7,13.039214152195392,10.86724125743344,220,220,217
2014,1004941369,4941369,BINTANG TUNA BAHARI,Longline Tuna,drifting_longlines,drifting_longlines,23.72,90,223.7,7504,274,208,110,87,6236.766666668194,565.8666666668003,4459.650000001999,434.0666666668004,0.7670829406221099,67.11,10,13.005701695314,10.74831484614401,220,220,217
2014,1000081519,81519,SAMUDERA DUA,Longline Tuna,drifting_longlines,drifting_longlines,25.29,99,378.0985952681441,5032,113,6,39,4,2526.1250000026007,476.8083333337,102.39999999989995,51.449999999999996,0.1079049932711476,113.42957858044322,14,13.056799388550013,10.930018556031524,180,180,217
2014,1004647479,4647479,PERMATA NO. 2,Longline Tuna,drifting_longlines,drifting_longlines,31.26,166,558.7732587549563,4361,190,186,145,145,4403.0499999996,1829.3333333335,4332.0416666663,1829.3333333335,1,167.63197762648687,16,13.1177114974474,11.140316204249098,180,180,217
2015,1004949322,4949322,DANAU TOBA INDAH  XI,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,26.48,148,313.2,2659,120,93,69,69,2670.9666666666994,845.0999999996001,2125.8666666666004,845.0999999996001,1,93.96,10,13.0364123784288,10.85386621649296,180,180,217
2016,1004464859,4464859,HASIL MELIMPAH - 23,Longline Tuna,drifting_longlines,drifting_longlines,23.87,68,220,1340,95,35,20,12,1793.9083333336991,216.55833333340001,662.5083333331997,148.85,0.6873436718357063,66,13,13.00402165968,10.743938003599999,220,220,217
2014,1004958162,4958162,BINTANG KASIH UTAMA,Longline Tuna,drifting_longlines,drifting_longlines,26.55,107,261,4592,201,168,61,56,4589.0499999997955,446.9333333332,3873.6083333331985,428.4333333332001,0.9586068019092958,78.3,10,13.018354994166,10.792379317009,180,180,217
2015,1004964854,4964854,PERINTIS JAYA - VII,Longline Tuna,drifting_longlines,drifting_longlines,25.76,127,391.15027321836294,1912,97,57,63,35,2074.608333332799,561.1583333328001,1116.7583333327998,305.56666666649994,0.5445284307758481,117.34508196550888,8,13.061675148337816,10.945294321174392,180,180,217
2016,1004669390,4669390,BINTANG SEJAHTERA,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,25.73,90,275.9,3259,159,141,115,109,3433.691666671098,1635.5833333346,3075.600000003397,1582.1833333345999,0.9673510979773015,82.77,14,13.022914813398,10.80995155631849,180,180,217
2015,1004619052,4619052,BANDAR BAHARI - 198,Longline Tuna,drifting_longlines,drifting_longlines,23.02,45,275.9,3264,149,147,122,122,3443.0749999999002,1596.1749999994997,3395.5666666666,1596.1749999994997,1,82.77,10,13.021980906699,10.80995155631849,220,220,217
2016,1004614862,4614862,SURYA TERBIT - 93,Longline Tuna,drifting_longlines,drifting_longlines,19.75,61,179,4231,217,193,90,85,4617.725000000602,407.6916666667001,4006.2583333337993,370.40000000000003,0.9085297303925834,53.699999999999996,5,12.990352170102,10.695367350689,220,220,217
2015,1000049163,49163,PERMATA 02,Longline Tuna,drifting_longlines,drifting_longlines,22.43,106,303.0738062252576,3023,60,54,40,40,1372.3583333335002,397.6583333329006,1256.2083333333,397.6583333329006,1,90.92214186757728,7,13.032206327046408,10.841954862545773,220,220,217
2014,1004955185,4955185,JAYA BALI - B. 03,Longline Tuna,drifting_longlines,drifting_longlines,26.81,145,313.2,1374,59,49,39,39,1374.1333333331002,538.5916666663002,1114.0499999998003,538.5916666663002,1,93.96,10,13.036350424812,10.85386621649296,180,180,217
2016,1004953776,4953776,BALI NUSA - 8,Longline Tuna,drifting_longlines,drifting_longlines,22.03,77,275.9,4915,218,33,178,19,4999.933333333004,1826.7416666659,607.5416666664,137.0833333331,0.07504253931170209,82.77,10,13.0226450181294,10.80995155631849,220,220,217
2014,1004841645,4841645,GOLDEN TUNA - 168,Longline Tuna,drifting_longlines,drifting_longlines,19.6,80,246.1,6942,299,294,241,241,6950.291666666405,2843.6083333329,6839.791666666403,2843.6083333329,1,73.83,6,13.012879815504,10.77478999580609,220,220,217
2014,1000074109,74109,PRIMA UTAMA JAYA - VI,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,24.86,118,366.33540848619475,5935,116,54,86,43,2625.8416666671997,1057.8500000002998,1208.9749999995008,523.55,0.49491893935799175,109.90062254585843,8,13.053310334781015,10.916239619217585,180,180,217
2016,1004560511,4560511,HANINDO - 01,Longline Tuna,drifting_longlines,drifting_longlines,22.18,58,296.877403988984,2350,103,61,73,41,2233.549999999699,821.5250000002995,1286.9916666662996,622.3500000003997,0.7575545479445821,89.0632211966952,11,13.029169909121544,10.834662197305907,220,220,217
2016,1040408927,40408927,ASIA NELAYAN - 2,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,25.72,98,275.9,2163,91,66,11,11,1820.8416666425032,108.21666666690001,1381.9916666514011,108.21666666690001,1,82.77,14,13.0230808412556,10.80995155631849,180,180,217
2016,1004939213,4939213,CHIU SHIH - 01,Longline Tuna,drifting_longlines,drifting_longlines,24.29,87,351.0048956054811,2136,111,111,93,93,2539.3083333328996,1581.7249999997998,2539.3083333328996,1581.7249999997998,1,105.30146868164434,11,13.047619251927943,10.898266076840791,180,180,217
2015,1004958966,4958966,FELICIA 18,Longline Tuna,drifting_longlines,drifting_longlines,24.66,98,360.92215052278186,1276,57,56,30,30,1330.15,275.23333333310006,1292.8083333333002,275.23333333310006,1,108.27664515683456,13,13.051115304115918,10.90989516355509,180,180,217
2015,1004521350,4521350,JIMMY WIJAYA - 26,Longline Tuna,drifting_longlines,drifting_longlines,23.61,81,333.10878977955946,1174,50,50,41,41,1151.7583333333994,527.1416666664,1151.7583333333994,527.1416666664,1,99.93263693386784,10,13.041594226498827,10.877261749183587,220,220,217
2016,1004444774,4444774,NA,Longline Tuna,drifting_longlines,drifting_longlines,20.4,58,275.9,869,43,32,23,21,944.7166666665001,313.04999999980004,722.0166666665999,303.04999999980004,0.9680562210509299,82.77,7,13.0222507019676,10.80995155631849,220,220,217
2014,1004952216,4952216,SINAR ARINDO -36,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,29.94,122,275.9,12320,80,25,23,11,1317.0666666071002,294.81666664620013,462.4666666272,154.11666665059988,0.5227542540379858,82.77,14,13.0235789248284,10.80995155631849,180,180,217
2016,1000074041,74041,SUMBER JAYA VI,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,25.73,125,275.9,13078,281,173,120,112,6433.541666667997,1129.6083333347005,4009.9083333331996,1079.6750000014997,0.9557958879554356,82.77,8,13.023641185275,10.80995155631849,180,180,217
2014,1004908175,4908175,HARAPAN JAYA PERKASA,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,26.27,114,261,4853,214,137,161,118,4701.683333333998,2458.7166666667995,2880.5583333333993,1886.116666666498,0.7671142804849669,78.3,10,13.018500554532,10.792379317009,180,180,217
2015,1000140249,140249,SEJATI MANDIRI,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,33.44,199,372.9,10605,226,193,117,117,5181.233333335803,931.0000000007999,4440.325000001199,931.0000000007999,1,111.86999999999999,16,13.0571340141318,10.92393043779289,180,180,217
2014,1004565591,4565591,PELITA HARAPAN - II,Longline Tuna,drifting_longlines,drifting_longlines,22.73,78,313.2,3831,168,105,138,83,3855.2583333332996,1364.7416666668996,2023.4083333330996,643.2833333332002,0.4713590484155783,93.96,10,13.0349667940368,10.85386621649296,220,220,217
2016,1004611036,4611036,KM.UNITED -29,Longline Tuna,drifting_longlines,drifting_longlines,21,58,268.42319219598636,7041,304,298,262,261,7069.316666666404,3066.7166666658,6985.816666666405,3059.7249999991004,0.9977201458671756,80.52695765879591,6,13.01978454447388,10.801135956225291,220,220,217
2015,1004958154,4958154,ALAM SEKAR,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,25.78,145,313.2,4680,218,99,165,73,4751.649999999697,2534.0916666669,1731.1500000004007,1060.9333333336,0.4186641498762551,93.96,8,13.036350424812,10.85386621649296,180,180,217
2014,1004598760,4598760,CAHAYA MUTIARA,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,28.46,148,313.2,1259,64,51,34,33,1320.3250000001,451.45833333350066,1121.3000000000993,446.45833333350066,0.9889247808029575,93.96,13,13.0364123784288,10.85386621649296,180,180,217
2016,1004616421,4616421,NA,Longline Tuna,drifting_longlines,drifting_longlines,23.86,46,339.6384389930393,3090,146,139,114,114,3220.7666666660975,1602.3833333329999,3172.274999999397,1602.3833333329999,1,101.89153169791179,12,13.043027305592116,10.884928332699651,220,220,217
