transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
40510676,40510676,6/24/2014 0:00:00,6/23/2015 0:00:00,Fish net/dragnet,41.89,7.25,1,5/26/2015 16:43:00,5/26/2015 16:43:00,718
40510677,MANOKWARI ABADI 1,10/16/2014 0:00:00,10/15/2015 0:00:00,Purse Seine Big Pelagics with one boat,46.53,9.6,7986,12/10/2015 8:16:00,3/23/2017 0:05:00,"716, 717"
40510678,MANOKWARI ABADI 2,10/16/2014 0:00:00,10/15/2015 0:00:00,Purse Seine Big Pelagics with one boat,46.53,9.6,7866,12/11/2015 1:07:00,3/23/2017 0:19:00,"716, 717"
40510679,MANOKWARI ABADI 3,10/16/2014 0:00:00,10/15/2015 0:00:00,Purse Seine Big Pelagics with one boat,46.53,9.63,9985,12/10/2015 7:21:00,3/22/2017 23:49:00,"716, 717"
40510701,ANUGRAH ABADI,3/18/2017 0:00:00,3/17/2018 0:00:00,"Lampara Seine Nets,Purse Seine Small Pelagics",17.59,5.72,1370,3/22/2017 1:45:00,6/20/2017 23:41:00,"712, 713,712, 713"
40510702,KENCANA TIGA,8/15/2016 0:00:00,8/14/2017 0:00:00,Stick-Held lift net,23.8,7.56,6305,9/5/2016 0:44:00,6/20/2017 23:03:00,711
40510703,BAHARI JAYA,11/16/2016 0:00:00,5/22/2017 0:00:00,"Stick-Held lift net,Stick-Held lift net",12.1,3.52,4107,10/24/2016 0:45:00,4/27/2017 8:50:00,"711,711"
40510704,KARYA LINGGA,9/3/2016 0:00:00,9/2/2017 0:00:00,Stick-Held lift net,22.57,5.55,1780,9/5/2016 0:02:00,5/15/2017 18:35:00,711
40510705,HARAPAN JAYA SENTOSA,7/8/2017 0:00:00,7/7/2018 0:00:00,Purse Seine Big Pelagics with one boat,28.47,8.3,149,6/5/2017 0:57:00,6/11/2017 5:13:00,"572, 573"
40510706,HARAPAN JAYA PERKASA - 8,8/8/2017 0:00:00,8/7/2018 0:00:00,Stick-Held lift net,23.85,6.27,251,6/7/2017 0:41:00,6/17/2017 11:10:00,711
40510717,SIN TOBA JAYA - 78,8/1/2016 0:00:00,7/31/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.84,9,1561,9/19/2016 20:08:00,4/21/2017 12:31:00,"572, 573"
40510718,40510718,2/11/2016 0:00:00,2/10/2017 0:00:00,Purse Seine Small Pelagics,14.15,5.6,3,7/20/2016 2:05:00,7/20/2016 4:06:00,"713, 712"
