Transmitter No,Name,
4698955,ANUGERAH BINTANG SEJAHTERA,
4536257,ANUGERAH JAYA ABADI - I,
40408981,ANUGERAH LAUT,
4957413,ANUGERAH LAUT - II,
40409341,ANUGERAH LAUT I,
33437,ANUGERAH LESTARI,
4583763,ANUGERAH LESTARI,
4541678,ANUGERAH MAKMUR,
4715300,ANUGERAH NUSANTARA JAYA,
50160,ANUGERAH PRATAMA,
4583764,ANUGERAH PRATAMA,
86811035829,ANUGERAH REZEKI,
4625590,ANUGERAH SAMUDERA,
10050,ANUGERAH SEJATI,
4638733,ANUGERAH SEJATI - V,
4878119,ANUGERAH SEJATI - VIII,
86811706583,ANUGRA SAMUDRA,
456,ANUGRAH,
41901,ANUGRAH,
4933512,ANUGRAH,
4575844,ANUGRAH -  BH2,
40512333,ANUGRAH - A,
4534399,ANUGRAH - BH1,
40510701,ANUGRAH ABADI,
40510330,ANUGRAH ABADI -18,
40408036,ANUGRAH ALAM,
40511639,ANUGRAH BAHARI,
45517,ANUGRAH BAHARI - I,
45517,ANUGRAH BAHARI I,
4608403,ANUGRAH BHAKTI,
3070,ANUGRAH BINTANG SURYA,
103070,ANUGRAH BINTANG SURYA,
4564729,ANUGRAH ILLAHI - 01,
31057344,ANUGRAH ILLAHI - 02,
86811707785,ANUGRAH ILLAHI - 2,
86811707779,ANUGRAH ILLAHI - 3,
31076469,ANUGRAH ILLAHI - 4,
4961345,ANUGRAH INDAH,
4960953,ANUGRAH INDAH - A,
141229,ANUGRAH MARITIM SENTOSA - 1,
31070080,ANUGRAH MARITIM SENTOSA - 6,
141226,ANUGRAH MINA,
86811704919,ANUGRAH MINA,
99531,ANUGRAH MINA HIDAYAH,
4598759,ANUGRAH MINA PERKASA,
4958165,ANUGRAH PESONA MANDIRI,
56282,ANUGRAH SEJATI - 8,
4914506,ANUGRAH SEJATI 2,
4638733,ANUGRAH SEJATI V,
4626960,ANUGRAH SINAR MESTIKA,
99576,ANUGRAH SINAR SURYA,
40510478,ANUGRAH SURYA,
R/2721/XI/2001/C,AO TAI,
4608867,APEL HIJAU,
4624209,APEL MERAH,
4957189,APEL MERAH,
140614,APEL MERAH - 2,
4916123,APEL PUTIH - A,
R/190/I/2002/C,APIRACHAI REEFER,
65220,APIRACHAI REEFER 2,
4914494,APN - 17,
4914493,APN - 19,
4914492,APN - 21,
4964836,APN 11,
4961367,APN 15,
4964839,APN 5,
4961372,APN 7,
4964838,APN 9,
4964838,APN 9 (x. VOR.CHOKE-UTTAVUT 2),
4905087,APN JAKARTA,
4905087,APN JAKARTA (x. SEA NA RO),
4946299,APN MERAUKE,
4946299,APN MERAUKE (xBRIGHTSEA REEFER),
57067,AQUARIUS,
4597876,AQUARIUS - III,
4511087,AQUARIUS - VI,
4841655,AQUARIUS - VI,
65213,AQUARIUS IX,
86811703767,AQUARIUS-III,
40408421,ARABIKA JAYA,
4960975,ARAFURA PEARL,
49609775,ARAFURA PEARL,
4861515,ARGA KARYA PRIMA - 1,
4567841,ARGA KARYA PRIMA - 2,
4525196,ARGA KARYA PRIMA - I,
4861515,ARGA KARYA PRIMA - I,
4821425,ARGA KARYA PRIMA 2,
74033,ARGADO BAHARI - 38,
40409939,ARGO MULYO - 2,
40408688,ARGO MULYO PUTRI - 2,
40408938,ARIANE,
86811704579,ARIANE,
4605006,ARIEL,
40511755,ARIF WIJAYA SEJATI - 2,
31072278,ARIF WIJAYA SUKSES - I,
40408557,ARIF WIJAYA UTAMA-I,
374,ARINDA JAYA,
40510248,ARINDA JAYA,
99577,ARINDO UTAMA,
4916127,ARMADA JAYA,
45287,ARMADA SAKTI,
73701,ARTA MINA,
4692965,ARTA MINA - II,
40510930,ARTA MINA - II,
40510930,ARTA MINA - III,
4556666,ARTA MINA JAYA,
40409807,ARTA MINA JAYA II,
40408737,ARTA MINA PERKASA - 1,
4462052,ARTA MINA PERKASA - 2,
4462052,ARTA MINA PERKASA 2,
4719797,ARTA MINA SAMUDRA - 01,
40510496,ARTA MINA SAMUDRA - 01,
4586968,ARTA MINA SAMUDRA - 02,
4681484,ARTA MINA SAMUDRA - 02,
40408030,ARTA MINA SAMUDRA - 03,
31076511,ARTA MINA SANTOSA,
35268,ARTA SAMPURNA - 08,
40510784,ARTA SAMPURNA - 08,
40510621,ARTA SAMPURNA - II,
73658,ARTA SAMUDERA,
4736926,ARTHA MINA PERKASA,
31072311,ARTHA MINA RAYA,
31070040,ARTHA SAMUDERA - A,
40408795,ARU ABADI 1,
40408803,ARU ABADI 10,
40408804,ARU ABADI 11,
40408805,ARU ABADI 12,
40408806,ARU ABADI 15,
40408807,ARU ABADI 16,
40408808,ARU ABADI 17,
40408815,ARU ABADI 18,
40408816,ARU ABADI 19,
40408796,ARU ABADI 2,
40408817,ARU ABADI 20,
40408818,ARU ABADI 21,
40408820,ARU ABADI 22,
40408819,ARU ABADI 23,
40408797,ARU ABADI 3,
40408798,ARU ABADI 5,
40408799,ARU ABADI 6,
40408800,ARU ABADI 7,
40408801,ARU ABADI 8,
40408802,ARU ABADI 9,
86811703435,ARU JAYA I,
4861491,ARU JAYA UTAMA - 01,
4861472,ARU JAYA UTAMA - 05 (xSOR.....),
4892548,ARU JAYA UTAMA 02,
4892548,ARU JAYA UTAMA 02 (xEKSRIWIC..),
4892549,ARU JAYA UTAMA 03,
4892549,ARU JAYA UTAMA 03 (xSOR INTREE),
4892550,ARU JAYA UTAMA 06,
4892550,ARU JAYA UTAMA 06 (xSOR MUANG.),
4911382,ARU LESTARI 1,
4911382,ARU LESTARI 1 (xMING PING YU..),
4957435,ARU PEARL,
4647435,ARU RIZKI LAUT,
4908173,ARU SUKSES UTAMA 01,
4911364,ARU SUKSES UTAMA 02,
4893662,ARU SUKSES UTAMA 03,
4893662,ARU SUKSES UTAMA 03 (xNETCHAN.),
4911376,ARU SUKSES UTAMA 05,
4911370,ARU SUKSES UTAMA 06,
4958146,ARU SUMBER UTAMA 01,
4958153,ARU SUMBER UTAMA 02,
4911363,ARU SUMBER UTAMA 03,
40999,ARUMINA LESTARI,
87140,ARUMINA MANDIRI,
61596,ARUMINA PERKASA,
41000,ARUMINA PUSAKA,
65182,ARUMINA SENTOSA,
4848487,ARUNG PERKASA,
31100124,ARUNG PERKASA,
86811703546,ARUNG SAMUDERA,
4682668,ARUNI JAYA 21,
4682669,ARUNI JAYA 23,
4682670,ARUNI JAYA 24,
4911365,ARUNI JAYA 25,
4878111,AS ROMA,
86811035775,ASEAN PRIMA I,
86811035668,ASIA BAGUS - 28,
4957418,ASIA BAGUS - 81,
31085794,ASIA BAGUS - 82,
4949256,ASIA BAGUS VIII,
56268,ASIA MAKMUR,
31069910,ASIA MAKMUR,
40408905,ASIA MAKMUR,
40408674,ASIA MAKMUR REJEKI,
40408927,ASIA NELAYAN - 2,
4623043,ASIA PASIFIK JAYA,
4612043,ASIA STAR,
42140,ASIA TUNA PRATAMA,
125147,ASIA TUNA PRATAMA,
74078,ASIA UNGGUL,
4924172,ASL APEX 1,
4924173,ASL APEX 2,
31061093,ASMARA BAROKAH,
4558585,ASMARA SAMUDRA - I,
4631173,ASMORO JAYA - 8,
4631174,ASMORO JAYA 6,
4631174,ASMORO JAYA 8,
4572142,ASMUNI JAYA,
42068,ASPAC - 01,
4773637,ASPAC - 01,
40846,ASPAC - 03,
125456,ASPAC - 03,
124779,ASPAC - 15,
42230,ASPAC - 16,
42334,ASPAC - 17,
45359,ASPAC - 18,
125386,ASPAC - 18,
125408,ASPAC - 5,
35292,ASPAC - 6,
125376,ASPAC - 6,
41974,ASPAC - 9,
35295,ASPAC 11,
45228,ASPAC 12,
125088,ASPAC 12,
4538625,ASTRO SARI,
86811035835,ATLANTIC,
4914489,ATLANTIC SENTOSA 02,
4964119,ATLANTIC SENTOSA 03,
4964119,ATLANTIC SENTOSA 03(x.Bintang.),
4956271,ATLANTIC SENTOSA No. 01,
4956284,ATLANTIC SENTOSA No. 05,
4956284,ATLANTIC SENTOSA NO.05,
4912944,ATLANTIC SENTOSA NO.06,
40512337,ATLANTIK,
40511959,ATLANTIK - 10,
40511960,ATLANTIK - 2,
4520454,ATLANTIK - 3,
4520464,ATLANTIK - 4,
4822687,ATLANTIK - 5,
4.82E+11,ATLANTIK - 5,
40511964,ATLANTIK - 7,
40512347,ATLANTIK - 8,
40511958,ATLANTIK-9,
4513510,ATRIA - II,
35125,AUGUSTIAN,
4616417,AULYNA BAHARI,
4517768,AVE MARIA 01,
4503146,AVENTADOR 168,
4477934,AVERY - 01,
4764359,AVONA 1,
4736090,AVONA 10,
4736091,AVONA 11,
4690589,AVONA 12,
4690588,AVONA 15,
4690587,AVONA 16,
4690586,AVONA 17,
4690585,AVONA 18,
4690584,AVONA 19,
4764358,AVONA 2,
4690583,AVONA 20,
4690582,AVONA 21,
4690581,AVONA 22,
4690580,AVONA 23,
40408200,AVONA 25,
40408201,AVONA 26,
40408202,AVONA 27,
40408203,AVONA 28,
40408204,AVONA 29,
4764357,AVONA 3,
40408205,AVONA 30,
40408208,AVONA 30,
40408206,AVONA 31,
40408207,AVONA 32,
40408209,AVONA 35,
4764356,AVONA 5,
4736086,AVONA 6,
4736087,AVONA 7,
4736088,AVONA 8,
4736089,AVONA 9,
4775478,AVONA JAYA - 10,
4775479,AVONA JAYA - 11,
4905102,AVONA JAYA - 12,
4775480,AVONA JAYA - 15,
4775481,AVONA JAYA - 16,
4841641,AVONA JAYA - 17,
4898131,AVONA JAYA - 18,
4775482,AVONA JAYA - 19,
10025288,AVONA JAYA - 19 (x. HUAAN 162),
4898129,AVONA JAYA - 20,
4775483,AVONA JAYA - 21,
10025354,AVONA JAYA - 21 (x. HUAAN 165),
4775484,AVONA JAYA - 22,
10025484,AVONA JAYA - 22 (x. HUAAN 166),
4905101,AVONA JAYA - 23,
4775485,AVONA JAYA - 25,
10025289,AVONA JAYA - 25 (x.HUAAN 168),
4775486,AVONA JAYA - 26,
10025356,AVONA JAYA - 26 (x. HUAAN 169),
4952230,AVONA JAYA - 27,
4952229,AVONA JAYA - 28,
4911383,AVONA LESTARI 1,
4949313,AVONA LESTARI 2,
4949262,AVONA LESTARI 3,
4801364,AVONA SAMUDERA -1,
4801365,AVONA SAMUDERA -2,
74199,AW. MAKMUR - I,
4714095,AWI MINA JAYA - A,
4934244,AWI MINA JAYA - I,
4934244,AWI MINA JAYA - I,
40407967,AYU LESTARI,
86811708693,AZ - ZAHRA,
4587975,AZANIA - 2,
4613997,BAHAGIA,
4958948,BAHAGIA,
40409265,BAHAGIA BARU,
40515995,BAHAGIA BARU,
4907095,BAHAGIA BARU II,
4712569,BAHAGIA II,
40510446,BAHANA CITRA,
4790786,BAHANA CITRA -9,
40510475,BAHANA CITRA -9,
4957415,BAHANA MARINE - 01,
4.96E+11,BAHANA MARINE - 01,
4541873,BAHANA MARINE - 02,
4912794,BAHANA MARINE - 04,
33553,BAHANA MARINE - 06,
4538627,BAHANA MARINE - 07,
42291,BAHANA MARINE - 08,
40510786,BAHANA MARINE - 09,
4956375,BAHARI  NUSANTARA,
4953791,BAHARI - 01,
4957190,BAHARI - 02,
4956245,BAHARI - 07,
4941353,BAHARI - 09,
4905089,BAHARI - 101,
4964849,BAHARI - 168,
4861506,BAHARI - 18,
4907136,BAHARI - 19,
4934255,BAHARI - 2,
4964126,BAHARI - 268,
4939215,BAHARI - 28,
4949247,BAHARI - 6,
4965270,BAHARI - 668,
4939209,BAHARI - 68,
4944861,BAHARI - 688,
4.94E+11,BAHARI - 688,
4964129,BAHARI - 689,
4939216,BAHARI - 699,
4949307,BAHARI - 87,
4926124,BAHARI - 89,
4965266,BAHARI - 98,
4949303,BAHARI - 99,
4941366,BAHARI 116,
4907136,BAHARI 19,
4961339,BAHARI 368,
31070078,BAHARI ANUGERAH,
86811035010,BAHARI ANUGERAH,
42399,BAHARI INDAH,
4575136,BAHARI JAYA,
40510703,BAHARI JAYA,
4607004,BAHARI JAYA - I,
4911366,BAHARI JAYA - II,
4958981,BAHARI KENCANA - 31,
4619063,BAHARI KENCANA NO. 30,
KKP 1277,BAHARI KENCANA NO. 30,
4933489,BAHARI KENCANA No. 39,
4933489,BAHARI KENCANA No. 39 (xHONG..),
4941359,BAHARI KENCANA No.35 (xSHING..),
86811035704,BAHARI MAKMUR,
4881748,BAHARI MAKMUR - 2,
4649079,BAHARI NUSANTARA  09,
4518909,BAHARI NUSANTARA - 23,
31060998,BAHARI NUSANTARA - 25,
4484688,BAHARI NUSANTARA - 689,
74038,BAHARI NUSANTARA - I,
31072290,BAHARI NUSANTARA - XI,
321,BAHARI NUSANTARA 03,
4649079,BAHARI NUSANTARA 09,
4958985,BAHARI NUSANTARA 10,
4958985,BAHARI NUSANTARA 10 (xSHENG...),
99486,BAHARI NUSANTARA 12,
40408562,BAHARI NUSANTARA 17,
74036,BAHARI NUSANTARA 19,
124206,BAHARI NUSANTARA 21,
73955,BAHARI NUSANTARA 83,
4619064,BAHARI NUSANTARA 87,
4939208,BAHARI NUSANTARA 88,
4939196,BAHARI NUSANTARA 89,
40408731,BAHARI RAYA MINA,
4961351,BAHARI SEJAHTERA,
4898122,BAHARI TIMUR - 131,
4952108,BAHARI TIMUR - 136,
