transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
4958154,ALAM SEKAR,Purse Seine Big Pelagics with one boat,420,SINAR LAUTAN ABADI,NISSAN
4958161,SUMAN JAYA PERKASA IX,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4958161,SUMAN JAYA PERKASA -IX,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
4958162,BINTANG KASIH UTAMA,Longline Tuna,350,BINTANG JAYAKOTA MANDIRI,NISSAN
4958946,HEN II,Longline Tuna,370,BALI TUNA SEGAR,NISSAN
4958946,HEN -II,Longline Tuna,370,BALI TUNA SEGAR,NISSAN
4958947,BALI PERMAI 189,Longline Tuna,385,PUTRA JAYAKOTA,NISSAN
4958954,BENOA JAYA,Longline Tuna,380,PUTRA JAYAKOTA,NISSAN
4958956,DWI SUKSES SAMUDRA,Purse Seine Big Pelagics with one boat,350,MANDIRI JAYA SAMUDRA,NISSAN
4958966,FELICIA 18,Longline Tuna,#N/A,#N/A,#N/A
4958980,SURYA TERANG 88,Longline Tuna,500,GOLDEN TUNA,CUMMINS
4958980,SURYA TERANG -88,Longline Tuna,500,GOLDEN TUNA,CUMMINS
4958982,DWI SUKSES LESTARI,Longline Tuna,#N/A,#N/A,#N/A
4960946,JASA MINA UTAMA -I,Longline Tuna,350,KARTIMAN,NISSAN
4960946,JASA MINA UTAMA I,Longline Tuna,350,KARTIMAN,NISSAN
4960947,NAILI XVIII,Longline Tuna,600,SAMUDRA MANDIRI SELATAN,MITSUBISHI
4960947,NAILI XVIII,Oceanic gillnet,600,SAMUDRA MANDIRI SELATAN,MITSUBISHI
4960947,NAILI -XVIII,Oceanic gillnet,600,SAMUDRA MANDIRI SELATAN,MITSUBISHI
4960947,NAILI -XVIII,Longline Tuna,600,SAMUDRA MANDIRI SELATAN,MITSUBISHI
4960949,BALI PERMAI -169,Longline Tuna,#N/A,#N/A,#N/A
4960949,BALI PERMAI 169,Longline Tuna,#N/A,#N/A,#N/A
4960951,PULAU CENDRAWASIH 3,Purse Seine Big Pelagics with one boat,420,MARKUN,NISSAN
4960951,PULAU CENDRAWASIH III,Purse Seine Big Pelagics with one boat,420,MARKUN,NISSAN
4960952,SAMINDO 01,Purse Seine Big Pelagics with one boat,420,VELISYA,NISSAN
4960960,MUTIARA SARI,Longline Tuna,#N/A,#N/A,#N/A
4960970,DANAU TOBA INDAH -VII,Purse Seine Big Pelagics with one boat,420,SUHANTO SULYSTIO,NISSAN
4960970,DANAU TOBA INDAH VII,Purse Seine Big Pelagics with one boat,420,SUHANTO SULYSTIO,NISSAN
4960971,RAJAWALI I,Purse Seine Big Pelagics with one boat,370,HERYANTO,NISSAN
4960971,RAJAWALI -I,Purse Seine Big Pelagics with one boat,370,HERYANTO,NISSAN
4960973,LANGSUNG JAYA CEMERLANG,Transporter,370,ANAVY,NISSAN
4960973,GEMINI II,Transporter,370,ANAVY,NISSAN
4961338,JAYA BALI BERSAUDARA -V,Longline Tuna,#N/A,#N/A,#N/A
4961338,JAYA BALI BERSAUDARA V,Longline Tuna,#N/A,#N/A,#N/A
4961339,BAHARI 368,Longline Tuna,600,PAHALA BAHARI BALI,CUMMINS
4961346,BANDAR NELAYAN -168,Longline Tuna,#N/A,#N/A,#N/A
4961346,BANDAR NELAYAN 168,Longline Tuna,#N/A,#N/A,#N/A
4961347,FELICIA -08,Longline Tuna,#N/A,#N/A,#N/A
4961347,FELICIA -8,Longline Tuna,#N/A,#N/A,#N/A
4961348,BALI PERMAI 68,Longline Tuna,#N/A,#N/A,#N/A
4961348,BALI PERMAI -68,Longline Tuna,#N/A,#N/A,#N/A
4961349,BANDAR NELAYAN -126,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4961349,BANDAR NELAYAN 126,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4961352,CHIU SHIH -02,Longline Tuna,#N/A,#N/A,#N/A
4961352,CHIU SHIH 02,Longline Tuna,#N/A,#N/A,#N/A
4961354,HEN,Longline Tuna,370,BALI TUNA SEGAR,NISSAN
4961356,BANDAR NELAYAN -127,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4961356,BANDAR NELAYAN 127,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4961357,FRANSISKA 6,Longline Tuna,#N/A,#N/A,#N/A
4961357,FRANSISKA -6,Longline Tuna,#N/A,#N/A,#N/A
4962006,FUJIYAMA,Longline Tuna,420,NG KAMARUDIN,NISSAN
4962008,NUSANTARA INDAH -III,Purse Seine Big Pelagics with one boat,360,DEVI KENANGA,NISSAN
4962010,MITRA MAJU BAHARI,Hand Line Tuna,370,ARIFIN JAYA,NISSAN
4964124,HEN -I,Longline Tuna,#N/A,#N/A,#N/A
4964126,BAHARI -268,Longline Tuna,350,PAHALA BAHARI BALI,GUASCOR
4964128,PERINTIS JAYA 68,Longline Tuna,#N/A,#N/A,#N/A
4964128,PERINTIS JAYA -68,Longline Tuna,#N/A,#N/A,#N/A
4964129,BAHARI -689,Longline Tuna,380,HASNAN,CUMMINS
4964130,BANDAR NELAYAN -280,Longline Tuna,#N/A,#N/A,#N/A
4964837,BANDAR NELAYAN -26,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4964837,BANDAR NELAYAN 26,Longline Tuna,370,BANDAR NELAYAN,NISSAN
4964850,BANDAR NELAYAN XI,Longline Tuna,350,BANDAR NELAYAN,NISSAN
4964852,BALI PERMAI VIII,Longline Tuna,#N/A,#N/A,#N/A
4964854,PERINTIS JAYA VII,Longline Tuna,#N/A,#N/A,#N/A
4964854,PERINTIS JAYA -VII,Longline Tuna,#N/A,#N/A,#N/A
4965253,BINTANG MUTIARA XVIII,Longline Tuna,370,ERNAWATI,NISSAN
4965257,BALI PERMAI -1,Longline Tuna,280,PUTRA JAYAKOTA,NISSAN
4965257,BALI PERMAI 1,Longline Tuna,280,PUTRA JAYAKOTA,NISSAN
4965258,PURNAMA 168,Longline Tuna,370,PUTRA JAYAKOTA,NISSAN
4965258,PURNAMA -168,Longline Tuna,370,PUTRA JAYAKOTA,NISSAN
4965266,BAHARI -98,Longline Tuna,640,PAHALA BAHARI BALI,CUMMINS
4965269,BINTANG BAHAGIA JAYA,Longline Tuna,350,MARHAGOMO,NISSAN
4965270,BAHARI 668,Longline Tuna,640,PAHALA BAHARI BALI,CUMMINS
4965270,BAHARI -668,Longline Tuna,640,PAHALA BAHARI BALI,CUMMINS
31051929,PUTRI INDAH,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
31057332,01057332SKY6941,Longline Tuna,320,KALIM MURNY,NISSAN
31057332,MINA SARI,Longline Tuna,320,KALIM MURNY,NISSAN
31060998,BAHARI NUSANTARA 25,Longline Tuna,370,I KADEK SUGIANTARA,NISSAN
