fishing_season,vessel_name,flag_country_name,callsign,imo_number,crew_count,length_m,gross_tonnage_t,engine_power_kW,fishing_method,owner,port_of_registry,class
2015-2016,Betanzos,Chile,CBTZ,7310923,36,72.05,1438.7,1491,Trawl,Antarctic Sea Fisheries S.A.,Valparaiso,trawler
2015-2016,Betanzos,Chile,CBTZ,7310923,36,72.05,1438.7,1491,Trawl,Antarctic Sea Fisheries S.A.,Valparaiso,trawler
2015-2016,Cabo de Hornos,Chile,CB 7960,7404372,85,80,2140,1912,Trawl,Deris S.A.,Valparaiso,trawler
2015-2016,Puerto Williams,Chile,CB9917,7303140,36,48.45,653.47,1491.2,Longline,Deris S.A.,Valparaiso,longline
2015-2016,Fu Rong Hai,China,BAOC,7238113,100,110.75,5306,4189.5,Conventional pelagic trawl,Liaoning Pelagic Fisheries Co. Ltd,Dalian,trawler
2015-2016,Long Da,China,BZYC,8225412,100,92.33,3879,2855,Conventional pelagic trawl,China National Fisheries Corporation,Qinhuangdao,trawler
2015-2016,Long Teng,China,BZZQ6,8607373,110,120.7,7765,5296,Pelagic trawl,China National Fisheries Corporation,Qinhuangdao,trawler
2015-2016,Ming Kai,China,BZYL9,8908117,104,120.7,7765,5300,Pelagic trawl,Qingdao Deep-Sea Fishing Co. Ltd,Qingdao,trawler
2015-2016,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2015-2016,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2015-2016,Greenstar,"Korea, Republic of",6KCE9,9125334,42,51.01,584,1177,Bottom longline,Sunwoo Corporation,Busan,longline
2015-2016,Insung Ho,"Korea, Republic of",6LZT,7042538,99,95.6,2999.12,2834,Midwater Trawl,Insung Corporation,Busan,trawler
2015-2016,Kingstar,"Korea, Republic of",6KCD4,8916009,42,51.01,573,1175,Bottom Longline,Sunwoo Corporation,Busan,longline
2015-2016,Kostar,"Korea, Republic of",6KCB6,9202687,43,47.11,862,930,Bottom Longline,Sunwoo Corporation,Busan,longline
2015-2016,Kwang Ja Ho,"Korea, Republic of",DTBP9,8505977,96,93.5,3012,3601,Midwater trawl,Insung Corporation,Busan,trawler
2015-2016,Sejong,"Korea, Republic of",DTBX8,8607385,120,110.22,7765,6000,Trawl,Dongwon Industries Co. Ltd.,Busan,trawler
2015-2016,Sunstar,"Korea, Republic of",6KCB,8978071,40,51.91,628,1201,Bottom Longline,Sunwoo Corporation,Busan,longline
2015-2016,Janas,New Zealand,ZMTW,9057109,20,46.5,1079,780,Bottom Longline,Talley's Longline Limited,Nelson,longline
2015-2016,San Aotea II,New Zealand,ZM2534,9057111,25,46.5,1079,802,Demersal autoline,Sanford Limited,Auckland,longline
2015-2016,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2015-2016,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2015-2016,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2015-2016,Antarctic Sea,Norway,LAWR,9160358,50,133.88,9432,3960,Continuous trawling (Eco-Harvesting),Aker BioMarine Antarctic II AS,Svolvaer,trawler
2015-2016,Juvel,Norway,LAZH,9256664,50,99.5,5500,6000,Midwater trawl,Emerald Fisheries AS,Alesund,trawler
2015-2016,Saga Sea,Norway,LNSK,7390416,59,92,4861,4500,Continuous trawl (Eco-Harvesting),Aker BioMarine Antarctic AS,Svolvaer,trawler
2015-2016,Oladon 1,Russian Federation,UBHI8,9261504,32,51.9,898,1103,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2015-2016,Palmer,Russian Federation,UBJH2,9083005,27,49.9,1137.27,1620,Bottom longline - automatic system,LLC Southern Cross,Petropavlovsk-Kamchatskiy,longline
2015-2016,Yantar 31,Russian Federation,UBWE5,8916803,32,49.6,788,882,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2015-2016,El Shaddai,South Africa,ZR6358,8025082,37,45.85,635.9,955,Longline,Braxton Security Services CC,Durban,longline
2015-2016,Koryo Maru No. 11,South Africa,ZR 7955,8603896,37,62.6,1119.9,998,Spanish longline,Tafisa (Pty) Ltd,Cape Town,longline
2015-2016,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Georgia SL,Celeiro,longline
2015-2016,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Georgia SL,Celeiro,longline
2015-2016,Yanque,Spain,ECAP,9297993,39,46.45,651,1230.5,Spanish longline,Gude Gonzalez Hermanos S.C.,Ribeira (Santa Uxia),longline
2015-2016,Koreiz,Ukraine,UUAS6,8129785,36,52.59,921,828,"Spanish Longline, Trotline",LLC Fishing Company Neptuno,Illichivs'k,longline
2015-2016,More Sodruzhestva,Ukraine,UYDV,8724315,110,103.1,6394,5252,Conventional pelagic (beam) trawl,Interpromflot Ltd,Illichivs'k,trawler
2015-2016,Simeiz,Ukraine,URBX,9247912,40,55.46,871,1176,"Spanish Longline, Trotline",LLC Fishing Company Proteus,Illichivs'k,longline
2015-2016,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2015-2016,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2015-2016,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2015-2016,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2015-2016,Robin M Lee,United Kingdom,ZDLF2,8718465,60,70,1386,2208,Stern pelagic trawl,Nova Seafish Ltd,Port Stanley,trawler
2015-2016,Sil,United Kingdom,ZDLR1,8521347,60,78.5,2156,2156.00t,Stern pelagic trawl,Polar Ltd,Port Stanley,trawler
2015-2016,Tronio,United Kingdom,ZDLS2,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Georgia SL,Port Stanley,longline
2015-2016,Tronio,United Kingdom,ZDLS2,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Georgia SL,Port Stanley,longline
2015-2016,Rambla,Uruguay,CXSB,9024621,38,50,852,1074,Spanish bottom longline,Riljer S.A.,Montevideo,longline
