ffa_vid,vessel_name,ircs,mmsi,uvi_imo_number,vessel_type,length,tonnage,engine_power,crew
36264.0,SHILLA HARVESTER,6KCA5,NA,9634919.0,Single Purse Seine,75.99142857142857,1971.0,3355.65,29.0
36266.0,KUO RONG NO.8,BJ5089,NA,NA,Longline,23.95,97.88,700.9580000000001,15.0
36267.0,CHUNG KUO NO.68,YJTR4,577222e3,8668729.0,Longline,23.8,96.0,596.5600000000001,15.0
36268.0,CHUNG KUO NO.666,YJTR5,577223e3,8668731.0,Longline,25.10344827586207,96.0,656.216,15.0
36269.0,RISING NO.16,3DQC,520231e3,9657583.0,Longline,42.6,199.0,396.0,16.0
36270.0,RISING NO.18,3DQE,520232e3,9657595.0,Longline,42.6,199.0,396.0,16.0
36272.0,RISING NO.28,3DQI,520234e3,9657612.0,Longline,42.6,199.0,396.0,16.0
36273.0,MIYA MARU NO.18,7JKW,432845e3,9634749.0,Single Purse Seine,69.49,1339.0,2647.0,22.0
36274.0,RELL & RENN NO.888,P2V5459,563111635.0,8618592.0,Single Purse Seine,72.0,499.0,1491.0,28.0
36275.0,KAI SHENG,BJ5016,NA,NA,Longline,23.95,88.63,618.1853,14.0
36276.0,PING TAI RONG 19,BZ2VT,412420582.0,9655054.0,Longline,44.8,394.0,698.0,15.0
36277.0,PING TAI RONG 25,BZ3VT,412420583.0,9655066.0,Longline,44.8,394.0,698.0,15.0
36278.0,PING TAI RONG 29,BZ4VT,412420584.0,9655078.0,Longline,44.8,394.0,698.0,15.0
36279.0,PING TAI RONG 49,BZ5VT,412420585.0,9655080.0,Longline,44.8,394.0,698.0,15.0
36280.0,DONG YU 1518,BZ7VK,412420596.0,NA,Longline,42.21,345.0,698.0,20.0
36281.0,CHUNG KUO NO.67,YJTR3,577221e3,8668717.0,Longline,28.0,96.0,596.5600000000001,15.0
36282.0,CHUNG KUO NO.888,YJTR8,577226e3,8668767.0,Longline,25.10344827586207,96.61,596.5600000000001,15.0
36283.0,HAI SOON 39,E5U2959,518100014.0,9188520.0,Bunker,103.4,3878.0,4118.0,20.0
36284.0,HAI SHANG 68,BZ6UW,412371178.0,8921391.0,Longline,54.07,577.0,520.26556875000006,30.0
36285.0,HAI SHANG 78,BZ7UW,412371179.0,8904185.0,Longline,54.07,577.0,676.4846787878788,30.0
36287.0,KUO RONG NO.368,BJ5091,416004375.0,NA,Longline,21.5,99.69,700.9580000000001,14.0
36288.0,SEIFUKU MARU NO.88,7JKM,NA,9634751.0,Longline,56.51,387.0,735.49875,25.0
36289.0,KOKUSHIN MARU NO.38,NA,NA,NA,Longline,19.79,19.0,540.0,9.0
36290.0,CHUNG KUO NO.95,3DOX,520217e3,8968492.0,Longline,32.0,179.0,759.03471,20.0
36291.0,HUNG RUNG NO.2,BH3401,416004369.0,9676151.0,Longline,35.76,230.0,759.0,23.0
36292.0,JIN JINN YI NO.168,BG3727,NA,NA,Longline,35.7,198.0,1116.3129000000001,14.0
36293.0,TIAN XIANG 168,BZSH9,412300365.0,9674751.0,Longline,38.61923076923077,255.0,NA,14.538461538461538
36295.0,WHITE EGRET,DUA6521,NA,8514837.0,Single Purse Seine,67.86,492.27,1470.9975,27.0
36297.0,SHILLA SPRINTER,6KCB4,NA,9634945.0,Single Purse Seine,79.84857142857143,1971.0,3309.7443749999998,29.0
36298.0,HAO XIANG,T3JZ2,667007053.0,7812062.0,Fish Carrier,103.73,3835.0,2469.7584,20.0
36304.0,GREEN TUNA NO.1,3DST,NA,NA,Longline,41.5,268.0,618.429999999999,18.0
36305.0,BADARO,D7MZ,440217e3,9163439.0,Fish Carrier,120.12,4643.0,4118.793,20.0
